Scenario Process,Exchange 1 (Name),Exchange 1 (Amount),Exchange 1 (Unit),Exchange 2 (Name),Exchange 2 (Amount),Exchange 2 (Unit),Exchange 3 (Name),Exchange 3 (Amount),Exchange 3 (Unit),Exchange 4 (Name),Exchange 4 (Amount),Exchange 4 (Unit),Exchange 5 (Name),Exchange 5 (Amount),Exchange 5 (Unit),Exchange 6 (Name),Exchange 6 (Amount),Exchange 6 (Unit),Exchange 7 (Name),Exchange 7 (Amount),Exchange 7 (Unit)
,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.3516700000000002,kilogram,,,,,,
,,,,,,,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,
,,,,,,,,,,,,,"market for electricity, medium voltage",0.22478637946427948,kilowatt hour,,,,,,
,,,,,,,,,,,,,"market group for electricity, medium voltage",3.725213620535716,kilowatt hour,,,,,,
,,,,,,,,,,onsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,,,,
,,,,,,,,,,,,,"market for electricity, medium voltage",0.286926340446581,kilowatt hour,,,,,,
,,,,,,,,,,,,,"market group for electricity, medium voltage",18.81307365955344,kilowatt hour,,,,,,
,,,,,,,,,,onsite_road construction_cs,-1.45614035087719e-05,kilogram,,,,,,,,,
,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-117.803652968037,kilogram,,,,,,
,,,,,,,,,,,,,"onsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,,,,
,,,,,,,,,,,,,"onsite_diesel, burned in building machine_cs",36.3,megajoule,,,,,,
,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.3516700000000002,kilogram,,,,,,
,,,,,,,,,,,,,"market for electricity, medium voltage",0.22478637946427948,kilowatt hour,,,,,,
,,,,,,,,,,,,,"market group for electricity, medium voltage",3.725213620535716,kilowatt hour,,,,,,
,,,,"market for electricity, low voltage",0.0003071924732435222,kilowatt hour,,,,,,,,,,,,,,,
,,,,"market group for electricity, low voltage",0.005252807526756481,kilowatt hour,,,,,,,,,,,,,,,
"onsite_heat, alternative, end of life phase",,,,,,,,,,,,,,,,,,,,,
,"onsite_furnace production, pellets, with silo, 300kW_eol",3.983333333333333e-08,unit,,,,,,,,,,,,,,,,,,
,,,,onsite_market for waste polyethylene_cs,-0.521307785705014,kilogram,,,,,,,,,,,,,,,
,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,,,,,,,,,,onsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram,,,,,,,,,
,,,,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,
,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.00016756015037594,kilogram,,,,,,,,,
,,,,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,
,,,,,,,,,,onsite_road construction_cs,0.00109,meter-year,,,,,,,,,
,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-117.803652968037,kilogram,,,,,,
,,,,,,,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,
,,,,,,,,,,,,,"onsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,,,,
,,,,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.003,kilogram,,,
,,,,,,,,,,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,,,,"onsite_diesel, burned in building machine_cs",36.3,megajoule,,,,,,
,,,,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram,,,
,,,,,,,,,,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.3516700000000002,kilogram,,,,,,
,,,,,,,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,
,,,,,,,,,,,,,"market for electricity, medium voltage",0.22478637946427948,kilowatt hour,,,,,,
,,,,,,,,,,,,,"market group for electricity, medium voltage",3.725213620535716,kilowatt hour,,,,,,
,,,,,,,,,,onsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,,,,
,,,,,,,,,,,,,"market for electricity, medium voltage",0.286926340446581,kilowatt hour,,,,,,
,,,,,,,,,,,,,"market group for electricity, medium voltage",18.81307365955344,kilowatt hour,,,,,,
,,,,,,,,,,onsite_road construction_cs,-1.45614035087719e-05,kilogram,,,,,,,,,
,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-117.803652968037,kilogram,,,,,,
,,,,,,,,,,,,,"onsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,,,,
,,,,,,,,,,,,,"onsite_diesel, burned in building machine_cs",36.3,megajoule,,,,,,
,,,,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.3516700000000002,kilogram,,,,,,
,,,,,,,,,,,,,"market for electricity, medium voltage",0.22478637946427948,kilowatt hour,,,,,,
,,,,,,,,,,,,,"market group for electricity, medium voltage",3.725213620535716,kilowatt hour,,,,,,
,,,,onsite_market for waste polyethylene_cs,-4.978692214294985,kilogram,,,,,,,,,,,,,,,
,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,,,,onsite_market for waste polystyrene_cs,-52.0,kilogram,,,,,,,,,,,,,,,
,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,"onsite_hot water tank production, 600l_eol",8.604e-07,unit,,,,,,,,,,,,,,,,,,
,,,,onsite_market for waste polyvinylchloride_cs,-2.000000000000004,kilogram,,,,,,,,,,,,,,,
,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,,,,"onsite_market for waste plastic, mixture_cs",-0.365863282331155,kilogram,,,,,,,,,,,,,,,
,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,,,,"onsite_market for waste plastic, mixture_cs",-3.4941367176688405,kilogram,,,,,,,,,,,,,,,
,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
